paper,author,affiliation,affiliation_type
Method Cards for Prescriptive Machine-Learning Transparency,David Adkins,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Bilal Alsallakh,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Adeel Cheema,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Narine Kokhlikyan,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Emily McReynolds,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Pushkar Mishra,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Chavez Procope,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Jeremy Sawruk,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Erin Wang,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Polina Zvyagina,Meta,Industry
Data Readiness Report,Shazia Afzal,IBM,Industry
Data Readiness Report,Rajmohan C,IBM,Industry
Data Readiness Report,Manish Kesarwani,IBM,Industry
Data Readiness Report,Sameep Mehta,IBM,Industry
Data Readiness Report,Hima Patel,IBM,Industry
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Raia ABU AHMAD,DFKI GmbH,Non-for-profit
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Jennifer D’SOUZA,Leibniz Information Centre for Science and Technology,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Matthäus ZLOCH,Leibniz Institute for the Social Sciences,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Wolfgang OTTO,Leibniz Institute for the Social Sciences,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Georg REHM,DFKI GmbH,Non-for-profit
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Allard OELEN,Leibniz Information Centre for Science and Technology,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Stefan DIETZE,Leibniz Institute for the Social Sciences,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Sören AUER,Leibniz Information Centre for Science and Technology,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Mubashara Akhtar,King’s College London,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Omar Benjelloun,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Costanza Conforti,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Pieter Gijsbers,TUE & OpenML,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Joan Giner-Miguelez,Universitat Oberta de Catalunya,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Nitisha Jain,King’s College London,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Michael Kuchnik,Meta,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Quentin Lhoest,Hugging Face,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Pierre Marcenac,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Manil Maskey,NASA,Government
Croissant: A Metadata Format for ML-Ready Datasets,Peter Mattson,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Luis Oala,Dotphoton,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Pierre Ruyssen,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Rajat Shinde,NASA IMPACT & UAH,Government
Croissant: A Metadata Format for ML-Ready Datasets,Elena Simperl,King’s College London,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Goeffry Thomas,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Slava Tykhonov,DANS-KNAW,Government
Croissant: A Metadata Format for ML-Ready Datasets,Joaquin Vanschoren,TUE & OpenML,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Jos van der Velde,TUE & OpenML,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Steffen Vogler,Bayer,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Carole-Jean Wu,Meta,Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,,University Hospitals Birmingham NHS Foundation Trust,Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Joseph E Alderman,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Joanne Palmer,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Elinor Laws,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Melissa D McCradden,"Department of Bioethics, The Hospital for Sick Children, Toronto, ON, Canada",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Johan Ordish,"Birmingham Health Partners Centre for Regulatory Science and Innovation, University of Birmingham, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Marzyeh Ghassemi,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Stephen R Pfohl,"Google Research, Mountain View, CA, USA",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Negar Rostamzadeh,"Google Research, Montreal, Quebec, Canada",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Heather Cole-Lewis,"Google, Mountain View, CA, USA",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Ben Glocker,"Department of Computing, Imperial College London, London, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Melanie Calvert,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Tom J Pollard,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA, USA",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Jaspret Gill,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Jacqui Gath,"Independent Cancer Patients' Voice, London, UK",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Adewale Adebajo,"NIHR Sheffield Biomedical Research Centre, Sheffield, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Jude Beng,"School of Medicine and Population Health, University of Sheffield, Sheffield, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Cassandra H Leung,"Patient and public contributor, Munich, Germany",Other
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Stephanie Kuku,"Institute of Women's Health, University College London, London, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Lesley-Anne Farmer,"Tethyan Consulting, Canberra, Australia",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Rubeta N Matin,"Oxford University Hospitals NHS Foundation Trust, Oxford, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Bilal A Mateen,"Institute of Health Informatics, University College London, London, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Francis McKay,"Population Health Sciences Institute, Newcastle University, Newcastle, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Katherine Heller,"Google Research, Mountain View, CA, USA",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Alan Karthikesalingam,"Google, London, UK",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Darren Treanor,"Leeds Teaching Hospitals NHS Trust, Leeds, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Maxine Mackintosh,"Genomics England, London, UK",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Lauren Oakden-Rayner,"Australian Institute for Machine Learning, University of Adelaide, Adelaide, SA, Australia",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Russell Pearson,"Medicines and Healthcare products Regulatory Agency, London, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Arjun K Manrai,"Department of Biomedical Informatics, Harvard Medical School, Harvard University, Cambridge, MA, USA",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Puja Myles,"Medicines and Healthcare products Regulatory Agency, London, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Judit Kumuthini,"African Biobanks and Longitudinal Epidemiologic Ecosystem, Ibadan, Nigeria",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Zoher Kapacee,"Health Research Authority, London, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Neil J Sebire,"NIHR Great Ormond Street Hospital Biomedical Research Centre at UCL, University College London, London, UK",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Lama H Nazer,"King Hussein Cancer Centre, Amman, Jordan",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Jarrel Seah,"Harrison.ai, Sydney, NSW, Australia",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Ashley Akbari,"Population Data Science, Swansea University Medical School, Faculty of Medicine, Health and Life Science, Swansea University, Wales, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Lew Berman,"All of Us Research Program, National Institutes of Health, Office of the Director, Bethesda, MD, USA",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Judy W Gichoya,"Department of Radiology, Emory University School of Medicine, Atlanta, GA, USA",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Lorenzo Righetto,"Nature Research, London, UK",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Diana Samuel,"The Lancet Digital Health, The Lancet, London, UK",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,William Wasswa,"Department of Biomedical Sciences and Engineering, Mbarara University of Science and Technology, Mbarara, Uganda",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Maria Charalambides,"Dermatopharmacology, Faculty of Medicine, University of Southampton, Southampton, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Anmol Arora,"School of Clinical Medicine, University of Cambridge, Cambridge, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Sameer Pujari,"WHO, Geneva, Switzerland",Non-for-profit
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Charlotte Summers,"Victor Phillip Dahdaleh Heart and Lung Research Institute, University of Cambridge, Cambridge, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Elizabeth Sapey,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Sharon Wilkinson,"University of Southampton, Southampton, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Vishal Thakker,"British Standards Institute, London, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Alastair Denniston,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Xiaoxuan Liu,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UKRetry",Academia
Prov-Dominoes: An approach for knowledge discovery from provenance data,Victor Alencar,"Brazilian Navy, CASNAV, Rio de Janeiro, RJ, Brazil",Government
Prov-Dominoes: An approach for knowledge discovery from provenance data,Troy Kohwalter,"UFF, Instituto de Computação, Niterói, RJ, Brazil",Academia
Prov-Dominoes: An approach for knowledge discovery from provenance data,Vanessa Braganholo,"UFF, Instituto de Computação, Niterói, RJ, Brazil",Academia
Prov-Dominoes: An approach for knowledge discovery from provenance data,José Ricardo da Silva Junior,"IFRJ, Departamento de Computação, RJ, Brazil",Academia
Prov-Dominoes: An approach for knowledge discovery from provenance data,Leonardo Murta,"UFF, Instituto de Computação, Niterói, RJ, Brazil",Academia
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,M. Arnold,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,R. K. E. Bellamy,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,M. Hind,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,S. Houde,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,S. Mehta,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,A. Mojsilovi´c,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,R. Nair,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,K. Natesan Ramamurthy,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,D. Reimer,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,A. Olteanu,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,D. Piorkowski,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,J. Tsay,IBM,Industry
FactSheets: Increasing Trust in AI Services through Supplier’s Declarations of Conformity,K. R. Varshney,IBM,Industry
How to Automatically Document Data With the codebook Package to Facilitate Data Reuse,Ruben C. Arslan,"Center for Adaptive Rationality, Max Planck Institute for Human Development",Non-for-profit
On the Effectiveness of Dataset Watermarking,Buse Gul Atli Tekgul,Aalto University,Academia
On the Effectiveness of Dataset Watermarking,N. Asokan,University of Waterloo & Aalto University,Academia
Datasheet for Subjective and Objective Quality Assessment Datasets,Nabajeet Barman,"Brightcove UK Ltd, London, United Kingdom; Kingston University, London, United Kingdom",Industry
Datasheet for Subjective and Objective Quality Assessment Datasets,Yuriy Reznik,"Brightcove Inc, Seattle, USA",Industry
Datasheet for Subjective and Objective Quality Assessment Datasets,Maria Martini,"Kingston University, London, United Kingdom",Academia
Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,Emily M. Bender,University of Washington,Academia
Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,Emily M. Bender,University of Washington,Academia
Machine Learning Data Practices through a Data Curation Lens: An Evaluation Framework,ESHTA BHARDWAJ,"University of Toronto, Canada",Academia
Machine Learning Data Practices through a Data Curation Lens: An Evaluation Framework,HARSHIT GUJRAL,"University of Toronto, Canada",Academia
Machine Learning Data Practices through a Data Curation Lens: An Evaluation Framework,SIYI WU,"University of Toronto, Canada",Academia
Machine Learning Data Practices through a Data Curation Lens: An Evaluation Framework,CIARA ZOGHEIB,"University of Toronto, Canada",Academia
Machine Learning Data Practices through a Data Curation Lens: An Evaluation Framework,TEGAN MAHARAJ,"University of Toronto, Canada",Academia
Machine Learning Data Practices through a Data Curation Lens: An Evaluation Framework,CHRISTOPH BECKER,"University of Toronto, Canada",Academia
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,Eshta Bhardwaj,"Faculty of Information, University of Toronto; Digital Curation Institute, University of Toronto",Academia
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,Harshit Gujral,"Department of Computer Science, University of Toronto",Academia
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,Siyi Wu,"Department of Computer Science, University of Toronto",Academia
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,Ciara Zogheib,"Faculty of Information, University of Toronto",Academia
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,Tegan Maharaj,"Faculty of Information, University of Toronto",Academia
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,Christoph Becker,"Faculty of Information, University of Toronto; Digital Curation Institute, University of Toronto",Academia
"Datasheets for Datasets Help ML Engineers Notice and
Understand Ethical Issues in Training Data",KAREN L. BOYD,University of Michigan,Academia
"The ABC of Data: A Classifying
Framework for Data Readiness",Laurens A. Castelijns,"Faculty of Mathematics and Computer Science, Eindhoven University of Technology; School of Law, Tilburg University; Jheronimus Academy of Data Science",Academia
"The ABC of Data: A Classifying
Framework for Data Readiness",Yuri Maas,"Faculty of Mathematics and Computer Science, Eindhoven University of Technology; School of Law, Tilburg University; Jheronimus Academy of Data Science",Academia
"The ABC of Data: A Classifying
Framework for Data Readiness",Joaquin Vanschoren,"Faculty of Mathematics and Computer Science, Eindhoven University of Technology",Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Kasia S. Chmielinski,"Berkman Klein Center, Harvard University",Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Sarah Newman,"metaLAB, Harvard University",Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Matt Taylor,Data Nutrition Project,Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Josh Joseph,"MIT Quest for Intelligence, MIT",Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Kemi Thomas,Data Nutrition Project,Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Jessica Yurkofsky,Massachusetts College of Liberal Arts,Academia
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,Yue Chelsea Qiu,Data Nutrition Project,Academia
The CLeAR Documentation Framework for AI Transparency,Kasia Chmielinski,Data Nutrition Project & Harvard University,Academia
The CLeAR Documentation Framework for AI Transparency,Sarah Newman,Data Nutrition Project & Harvard University,Academia
The CLeAR Documentation Framework for AI Transparency,Chris N. Kranzinger,Data Nutrition Project,Academia
The CLeAR Documentation Framework for AI Transparency,Michael Hind,IBM Research,Industry
The CLeAR Documentation Framework for AI Transparency,Jennifer Wortman Vaughan,Microsoft Research,Industry
The CLeAR Documentation Framework for AI Transparency,Margaret Mitchell,Hugging Face,Industry
The CLeAR Documentation Framework for AI Transparency,Julia Stoyanovich,New York University,Academia
The CLeAR Documentation Framework for AI Transparency,Angelina McMillan-Major,independent researcher,Academia
The CLeAR Documentation Framework for AI Transparency,Emily McReynolds,independent researcher,Academia
The CLeAR Documentation Framework for AI Transparency,Kathleen Esfahany,Data Nutrition Project & Harvard University,Academia
The CLeAR Documentation Framework for AI Transparency,Mary L. Gray,"Microsoft Research, Indiana University & Harvard University",Academia
The CLeAR Documentation Framework for AI Transparency,Maui Hudson,"TKRI, University of Waikato",Academia
The CLeAR Documentation Framework for AI Transparency,Audrey Chang,Data Nutrition Project & Harvard University,Academia
Interactive Model Cards: A Human-Centered Approach to Model Documentation,ANAMARIA CRISAN,Tableau Research & User Research,Industry
Interactive Model Cards: A Human-Centered Approach to Model Documentation,MARGARET DROUHARD,Tableau Research & User Research,Industry
Interactive Model Cards: A Human-Centered Approach to Model Documentation,JESSE VIG,Salesforce Research,Industry
Interactive Model Cards: A Human-Centered Approach to Model Documentation,NAZNEEN RAJANI,Hugging Face,Industry
CrowdWorkSheets: Accounting for Individual and Collective Identities Underlying Crowdsourced Dataset Annotation,Mark Díaz,Google Research,Industry
